dato,etiqueta
epigmenioibarra Eres un imbecil,1
no se puede ser más imbécil pero no desistas,1
para no ser útil es el paido que os ha dado 4 presidencias imbécil,1
imbécil salió de china no de los gringos,1
de desnutrida nada imbécil está buenísima,1
imbecil si no investigas primero antes de abrir el osico espor que el ardor que tienes no te deja enpaz,1
me gustaría saber si siempre fue un imbécil o si solo es desde que decidió meterse en la política con el cd,1
a este imbecil si no le duele todo el daño que le ha estado haciendo a méxico desde el inicio de su sexenioacaso creen que le duela los asesinatos de mucha gente,1
queso desarrolla lo de que es de queso imbecil no sabes nada de la luna o de quesos niñato comienza a llorar pero desarrolla tu teoría no seas llorón y necio más o menos y sin faltas espero que lo entiendas todo,1
ya está bloqueado si te fijas en lo q publica casi nadie le hace caso ni le comenta nada es un imbecil sin ningún criterio,1
trinche anciano kgado deberías de cuidar a toda tu familia no vaya a ser que de un momento a otro desaparezcan por obra de los ciudadanos que te detestan imbécil,1
che soy imbécil jajaja no sé ni leer ni persuadir,0
imbécil mira tu derecha,1
imbécil igual q este viejo sorete defensores de mierdas,1
iba a decir un imbécil ofendido de twitter pero voy a decir uña,1
soy imbécil hasta para apadrinar un pingüino,1
oe periodista objetivo algún comentario sobre el desastre ecológico y económico que ha causado al mar peruano y a las familias que viven en la zona del desastre otro mermelero que solo sale a llorar cuando se ve acorralado por el imbécil de,1
tú no es que no votes a eso imbécil es que no te dejamos que lo hagas,1
y como no ser imbécil,1
que fastidio como me encanta un imbecil,1
y te dices médico pedazo de imbécil con meconio necesitas urgentemente terapia pendejo y una putiza que te reviente el osico por las pendejadas del siglo xix que hablas con la mierda entre los dientes,1
quedé como la más imbécil de la clase diciéndole a la profe q tenía clases a las 8 el miércoles y es con ella,1
jajaja lo que es ser imbécil y ser ignorante esa mamada del testamento político solo es una jugada del hdspm para tratar de perpetuar su fallida transformación lean la constitucióna pero los chairos solo leen el libro vaquero o el lágrimas y risas,1
