dato,etiqueta
InciarteManuel El Mion o el cagon ? Xq tengo entendido que fueron las dos cosas jajajaajajaja,1.0
el cagon de mi amigo no quiere ir a barrel por unas pintas,1.0
y el cagon no responde jajajajaja,1.0
los que terminaron bien ajusticiados fueron los soretes golpistas del mtp encontras unas hermosas imágenes de crónica tv mientras el cagón de gorriaran merlo estaba escondido zurdos de empanada,1.0
ojalá que ningún machirulo pito coo cagon le toque ni un pelo a alguna de mis amigas lo mínimo que haría es incendiarle la casa con el adentro,1.0
no tiene nada que ver pero estuviste 5 años en la b cagón,1.0
me chupa 3 hectáreas de verga lo que digas vos cagón,1.0
cagon descendido no opinion,1.0
tu eres tonto o qué o sea según tu lógica él le tenía que abrir camino a los demás y que pasaran a lo cagón amigo ve a dormir un rato,1.0
que tipo cagón sin códigos y miserable el que le patea la cabeza estando en el piso a ese pajero lo tendrían que identificar y juzgar por intento de homicidio así mataron a fernando báez sosa y a muchas otras personas las dejaron en coma por patearles la cabeza,1.0
nunca pelee así que no sé hasta dónde te debe llevar la adrenalina pero creo que no debe haber nada más cagón que patearle la cabeza a alguien que ya está tirado en el piso lo podés matar y ni siquiera se puede defender terrible cagón,1.0
en bilbao vas a ver lo que sería la vida sin rdt a ver si así os dejáis de rencillas personales contra él y focalizáis en los autenticos culpables el parásito de rufete y el pusilánime cagón de vicente moreno,1.0
muy de cagón ponerle mg a las historias y no responderlas,1.0
es de cagón poner fav y sacarlo enseguida eh,1.0
lo vamos a seguir haciendo malparidos que se siente vivir en un pasillo estira el brazo y cruza la frontera cagon jajajaj te va a tragar el mar y argentos y bolivianos te van a romper el culo,1.0
lindo cagón el q pega la patada,1.0
morite de amor cagón ay mas tierna no entendiste quiero que te mueras,1.0
no hay nada más de cagon que pegar una patada más con la persona en el piso lo que hace el boludo ese que usa esas camisas detestables no tiene perdon no da ser onvre capo,1.0
hay q ser el ql más cagón dele mundo pa tener el prontuario de todos los delitos depovos existentes y culpar a los demás maricón ql poca cosa te cuelgan de adorno se han piteao estadios por 30 años y te l,1.0
basta del cagon hijo de mil putas del kike olivera,1.0
que se sorprenden si tiene a repetto cagon de técnico,1.0
encima de pelotudo sos cagon también,1.0
veterano de que cagon ql mataron gente desarmada nonles da para mas milicos cagones ahora a agachar la cabeza y saludar respetuosamente a la sra allende,1.0
no podés pegar esa patada en el piso con 3 arriba sin poder moverse tan hdp vas a ser cagon,1.0
sjfjskdjq mira como arrugó el cagon de mierda,1.0
me esperaba muchas cosas de damon albarn menos que sea tremendo cagón,1.0
y no te acordai cdo casi se pitean a uno de su club guarenes qls aweonaos en vdd erí tan poca cosa rata ctm tan miserable cagón rql q no te da ni la mente ni los cocos nila decencia pa asumir toas las cagás,1.0
ahí va el cagon esteeegejevd mi vida por favor yaaaaaagajas,1.0
anlo sale bien bueno es rembrandt lo pinto como niño cagón y chillón,1.0
no le hace falta globeo tiene a la coe suprema inodoro py y clarínque tul cristina nose defiende sola la larva es un cagón,1.0
muchos hablan de no forzar algo y que hay de esforzarce por ese algo peleala cagon,1.0
pero con dignidad no como el cagon ese,1.0
claro la blanquirroja les quita todo lo descendido y cagón que puedan ser,1.0
cagón,1.0
andate a la mierda putito perfil falsoidentificate cagon,1.0
tú tampoco debes de continuar en política enano cagón,1.0
es vdd dejaste de ser cagon bien,1.0
ese burro es cagónno lo haráburritos de 4 patas ustedes no entran en esa definición,1.0
callate hombre de mierda tras de imbecil resultaste cagon desactiva tu vida,1.0
cuántos asesinatos tiene la barra de uc metido conchetumadre cuántos estadios ha destruido la barra de uc cagón reculiao hazte cargo de la basura q eri vo y tu cagá de club celebra un triunfo bajo ame,1.0
cruzapo cagón meruane,1.0
con las q compro larrata seguro q no cagon lacra,1.0
es un cagón,1.0
habría que encontrar al cagon que le pega la patada cuando está en el piso que encima se rastrea el celular innecesariamente todo lo que hizo,1.0
yo diría del cagón,1.0
pero si el cagón le pidió disculpas majsjsjaj,1.0
manya vos sos un cagon lo volviste a demostrar,1.0
comercio cagon,1.0
baja cagon baja,1.0
le cayó la parca a ese cagón,1.0
para q la queres arreglar si ya t cerró el oo ajaksj encima cagón,1.0
claramente que es misógino esa necesidad de los aistas masculinos de siempre comparar a las mujeres entre sí si querés hablar bien de billie podes hacerlo sin compararla con otra mujer y si culpar al clickbait es de ca,1.0
cómo vas a decir que la del 50 fue una final cuando fue un cuadrangular xdddd ptmre estos mojones se superan cada día 1950 se recuerda por el maracanazo no por ser una final cagón idiota,1.0
por putito y cagon luego ya tenes perfil falso,1.0
ah pero que cagon,1.0
sos antivacunas y encima un cagón que no se anima a dar la cara la concha bien puta de tu hermana,1.0
lo peor es que ni lo intento por cagón,1.0
esa acusación de misógino por comparar aistas no la compao después lo otro pedir disculpas es de cagón me parece una incoherencia con la acusación anterior,1.0
bien de cagón,1.0
pero ponete nombre y apellido antes de hablar cagon,1.0
adán era mejor poero que casillas como decía mourinho ni naciendo 10 veces el paido en casa contra el bayern cuando los teníamos caput es la prueba de que es un cagón,1.0
que se vaya y no vuelva por màs representante o lo que quiera marino cagòn,1.0
lo hiciste demasiado bien no fuiste cagon xd te amo lt3,1.0
atsumu es cagón y no me responde,1.0
acabo de denunciar todas las redes del cagón,1.0
no hablar además de cagón un rata,1.0
indefendible salvo que sea un confeso pedofilo una patada asi en el piso es ser un cagon,1.0
a diosdado lo que hay que darle son cuatro coñazos ese dicho es un cagon,1.0
vos podes no seas cagon,1.0
para los que le decían cagón a nk rey,1.0
encima lo arrobó y todo like si tenés huevos decimelo en la cara cagón djkdj pésima idea meterse con taylor,1.0
vlahovic puto y cagón que no le dieron los huevos para ir a otra liga ojalá se rompa todo,1.0
aquí unos puntos y dejo el tema 1 los números fueron más de adorno porque nadie respetaba los números estaban todos cagados 2 a menos de 1 minuto de perder les pregunto quién verga iba a respetar los números 3 mucho hablaron de cagon mientras ustedes estaban atrás viendo,1.0
macri es un cagon,1.0
ollie xokas y luzu xd tuvieron el camino servido y se atrevieron a llamar cagon a rap sus cojones jajaja,1.0
cómo podes ser tan cagón de patearle la cabeza a alguien hermano mereces lo peor de lo peor en tu vida,1.0
ekakapa pee tenes miedo que cagon todos los dias lo mismo,1.0
para esto tampoco te da cagon,1.0
q se metía larreta cuando tiene q defender a c ni aparece el cagón,1.0
da la cara cagón,1.0
son todos unos violentos pero el más cagón de todos es el de camisa floreada pega el peor golpe de todos y después se hace el que separa,1.0
llamaba cagón a raptor con q cara si literal el no saltó ninguno xd,1.0
voy es q como le va a decir q es un cagón y encima se negó a ver los clips cuando le dije q estaba diciendo pelotudeces en fin,1.0
y encima cagón bancatela solo gonca,1.0
si los pibes canalizaran la violencia que muestran a diario x vivir en este averno prehistórico y la utilizaran en sacar a patadas a los genocidas q gobiernan seríamos australia en un rato pero prefieren matar a golpes a un pobre indefen,1.0
que cagon hay que ser en la vida para pegar una patada en el piso,1.0
arrugaste cagón,1.0
muy pelotudo y muy cagón,1.0
esa escusa es muy barata y muy de rata comoda daba igual el orden no era obligacion que fuera asi no todos fueron en orden de número el que es cagon es cagon y asi quedo demostrado tanto en los cristales como en la cen,1.0
tú ni olvidas ni perdonas pero te cagas cuando te increpan cagon,1.0
que cagón xdios,1.0
los que patean cabezas en el piso son lo mas cagon del pais manga de giles,1.0
suba cagon,1.0
cagón cagón cagón hijo de mil puta y cagón el que pega esa patada lo unico que hace es esperar y pegarle una patada en la cabeza dios me diveiria reventándole la nariz contra el cordón a giles como ese,1.0
el culo roto de borró su tuit luego por cagón luego de haber sido domado por,1.0
si fueras la cara y pusieras tu nombre en vez de ser un troll cagón fascista y patético capaz que me tomaba tiempo y esfuerzo en explicae que es una dictadura asesina y como actúa así dejas de hablar,1.0
menos mal que te retractaste cagon,1.0
cagón d mierda q me bloquea no aguantas nada,1.0
me mata el de camisa que apareció tranqui se agarro un celular y le pego una patada en la cabeza a un pibe que estaba indefenso en el piso chorro y cagon,1.0
no puede decir nada si no lo autoriza su vicepresidente demostró ser un cagón y un eunuco pero el perionismo ensobrado de cree que la va a marcar la cancha al fmi que manga de basuras,1.0
hoy en día ya ni plantae de manos podes por q viene un gil y te arruina así eso es de cagon pegar de a grupo,1.0
algún cagón salsero de esos que hay como mrd,1.0
hablale cagon,1.0
veni a tomar una birra cagon,1.0
igual increíble lo q lo quemaron igual merecido por cagon,1.0
tan cagon se puede ser,1.0
bueno cagon no es,1.0
bastante pero no seas cagon tmb y,1.0
jaja porque sos un cagon y ni siquiera trabajo por paidos políticos saludos a tia chela,1.0
esta copia barata de elon musk que pedo mejor callate ruco odioso eres un cagon,1.0
apae de inepto el ministro es cagón,1.0
el cagon,1.0
cagón terminó siendo,1.0
jsksks que fantasma resultó ser este y encima cagón,1.0
bien de cagon el q le pega la patada en la cara encima estaba en el piso ese si merece una buena cagada a piñas por gil,1.0
dios mirá si vas a ser así de cagón los gallagher tienen razón,1.0
y cargaste contra la gallina te falto pendejo cagon que ni juegue el miercoles mejor es uno menos,1.0
elimino habia sido despues de que le pase el dato que cagon,1.0
no creo de todas formas no lo decía en mal pedo y si sí hablas así y alguien te dice algo voy y les rompo todo soy bn cagón entonces no es cieo pero el pensamiento es lo ke cuenta,1.0
por lo que estoy leyendo le daría diagnóstico a este individuo ferooo olimpancho hina koaa porque no cualquiera es loron y cagón al mismo tiempo,1.0
