Clase,Nombre,Edad,Hermanos_esposas,Padres_hijos,Tarifa,Q,S,Sexo_male,Sobrevive
1,,51.0,0,0,26.55,0,1,1,1
2,,17.0,0,0,12.0,0,0,0,1
3,,25.0,0,0,7.775,0,1,0,0
3,,30.0,0,0,7.8792,1,0,0,1
3,,28.0,0,0,7.7958,0,1,1,0
3,,24.0,0,0,7.05,0,1,1,0
3,,16.0,2,0,18.0,0,1,1,0
3,,1.0,0,2,15.7417,0,0,0,1
2,,3.0,1,2,41.5792,0,0,0,1
2,,32.5,1,0,30.0708,0,0,1,0
3,,30.0,0,0,7.75,1,0,1,0
3,,20.0,0,0,7.8542,0,1,1,0
1,,29.0,0,0,211.3375,0,1,0,1
3,,21.0,0,0,7.925,0,1,1,0
3,,26.0,2,0,8.6625,0,1,1,0
2,,44.0,1,0,26.0,0,1,0,0
3,,45.0,0,0,7.75,0,1,0,0
2,,39.0,0,0,13.0,0,1,1,0
3,,18.0,0,0,7.775,0,1,0,0
1,,54.0,1,0,59.4,0,0,0,1
3,,40.0,1,4,27.9,0,1,1,0
3,,10.0,3,2,27.9,0,1,1,0
2,,0.83,1,1,18.75,0,1,1,1
2,,0.83,0,2,29.0,0,1,1,1
1,,32.0,0,0,76.2917,0,0,0,1
2,,47.0,0,0,15.0,0,1,1,0
2,,16.0,0,0,26.0,0,1,1,0
3,,29.0,0,0,7.75,1,0,1,1
3,,19.0,0,0,7.775,0,1,1,0
1,,27.0,1,0,53.1,0,1,1,1
2,,34.0,1,0,26.0,0,1,1,0
3,,30.5,0,0,8.05,0,1,1,0
3,,30.0,0,0,12.475,0,1,0,1
2,,33.0,0,0,12.275,0,1,1,0
3,,14.5,1,0,14.4542,0,0,0,0
1,,22.0,0,2,49.5,0,0,0,1
3,,32.0,0,0,7.8542,0,1,1,1
1,,30.0,0,0,27.7208,0,0,1,0
3,,30.0,0,0,7.55,0,1,1,0
2,,2.0,1,1,26.0,0,1,1,1
1,,30.0,0,0,25.925,0,1,1,0
1,,35.0,1,0,83.475,0,1,0,1
1,,62.0,0,0,26.55,0,1,1,0
3,,30.0,1,0,16.1,0,1,0,1
3,,41.0,0,0,7.125,0,1,1,0
3,,25.0,0,0,7.05,0,1,1,0
2,,24.0,1,2,65.0,0,1,0,1
2,,30.0,0,0,13.8625,0,0,1,1
3,,24.0,1,0,16.1,0,1,1,0
2,,25.0,1,2,41.5792,0,0,1,0
1,,24.0,0,0,83.1583,0,0,0,1
3,,47.0,0,0,9.0,0,1,1,0
3,,30.0,0,0,7.75,1,0,0,1
3,,30.0,0,0,7.2292,0,0,1,0
1,,50.0,2,0,133.65,0,1,1,1
3,,28.0,0,0,7.8958,0,1,1,0
3,,5.0,2,1,19.2583,0,0,0,1
3,,26.0,0,0,8.05,0,1,1,0
3,,16.0,0,0,7.775,0,1,1,0
2,,27.0,0,0,10.5,0,1,0,1
1,,40.0,0,0,27.7208,0,0,1,0
1,,29.0,1,0,66.6,0,1,1,0
1,,45.0,0,0,26.55,0,1,1,1
3,,30.0,8,2,69.55,0,1,1,0
1,,2.0,1,2,151.55,0,1,0,0
2,,24.0,2,0,73.5,0,1,1,0
1,,21.0,0,0,77.9583,0,1,0,1
3,,21.0,0,0,8.05,0,1,1,0
1,,30.0,1,0,51.8625,0,1,0,1
3,,26.0,0,0,7.8958,0,1,1,0
1,,30.0,0,0,26.55,0,1,1,0
1,,30.0,0,0,30.0,0,1,1,1
1,,48.0,1,0,52.0,0,1,1,1
3,,21.0,0,0,16.1,0,1,1,0
1,,25.0,1,2,151.55,0,1,0,0
3,,61.0,0,0,6.2375,0,1,1,0
3,,30.0,2,0,21.6792,0,0,1,0
1,,27.0,0,0,76.7292,0,0,1,1
3,,18.0,1,1,20.2125,0,1,1,0
1,,37.0,1,1,52.5542,0,1,1,1
3,,36.0,1,0,17.4,0,1,0,1
1,,40.0,0,0,153.4625,0,1,0,1
3,,30.0,0,0,7.775,0,1,1,1
3,,1.0,4,1,39.6875,0,1,1,0
1,,48.0,0,0,25.9292,0,1,0,1
3,,30.0,0,0,7.55,0,1,0,0
1,,24.0,3,2,263.0,0,1,0,1
3,,35.0,1,1,20.25,0,1,0,1
3,,30.0,0,0,8.05,0,1,1,0
1,,51.0,1,0,77.9583,0,1,0,1
1,,47.0,1,1,52.5542,0,1,0,1
2,,24.0,0,0,13.0,0,1,1,0
3,,34.5,0,0,6.4375,0,0,1,0
2,,34.0,1,0,21.0,0,1,1,0
3,,15.0,0,0,8.0292,1,0,0,1
2,,50.0,0,1,26.0,0,1,0,1
1,,46.0,0,0,79.2,0,0,1,0
3,,19.0,0,0,8.05,0,1,1,1
1,,71.0,0,0,49.5042,0,0,1,0
3,,18.0,0,0,8.05,0,1,1,1
3,,30.0,0,0,8.05,0,1,1,0
3,,21.0,2,2,34.375,0,1,0,0
1,,45.0,1,1,164.8667,0,1,0,1
3,,1.0,1,2,20.575,0,1,1,1
3,,33.0,0,0,8.6625,0,0,1,0
3,,17.0,1,1,7.2292,0,0,1,0
1,,28.0,0,0,47.1,0,1,1,0
2,,30.0,0,0,13.0,0,1,0,1
2,,36.0,0,0,12.875,0,0,1,0
3,,20.0,0,0,8.6625,0,1,1,0
2,,0.67,1,1,14.5,0,1,1,1
3,,18.0,0,1,14.4542,0,0,0,0
2,,29.0,1,0,26.0,0,1,0,1
2,,30.0,0,0,33.0,0,1,0,1
1,,64.0,1,4,263.0,0,1,1,0
1,,29.0,0,0,30.0,0,1,1,0
3,,30.0,0,0,7.3125,0,1,1,0
3,,30.0,0,0,7.8958,0,1,1,0
3,,26.0,0,0,7.925,0,1,0,1
3,,30.0,0,0,7.7875,1,0,0,1
1,,24.0,0,0,79.2,0,0,1,0
1,,16.0,0,1,39.4,0,1,0,1
3,,19.0,0,0,8.1583,0,1,1,0
2,,32.0,1,0,26.0,0,1,1,1
1,,17.0,0,2,110.8833,0,0,1,1
3,,9.0,4,2,31.275,0,1,0,0
